delude,вводить в заблуждение,,delusion,заблуждение,
deceive,обманывать,,deception,обман,
cheat,обманывать (жульничать),,,,
trick,обманывать (перехитрить),,,,
mislead,вводить в заблуждение,cause (someone) to have a wrong idea or impression about someone or something,,,
tamper,вмешиваться,interfere with (something) in order to cause damage or make unauthorized alterations,,,
interfere,вмешиваться,take part or intervene in an activity without invitation or necessity,interference,вмешательство,
intervene,вмешиваться,come between so as to prevent or alter a result or course of events,intervention,вмешательство,
foster,способствовать,,,,
hesitate,колебаться во время разговора,"pause before saying or doing something, especially through uncertainty",,,
falter,колебаться,start to lose strength or momentum,,,
dither,"колебаться, быть в нерешительности",be indecisive,,,
cherish,"ценить, оберегать",protect and care for (someone) lovingly,,,
appreciate,ценить (значение),recognize the full worth of.,,she feels that he does not appreciate her,
appreciate,полностью понимать важность,understand (a situation) fully; recognize the full implications of,,they failed to appreciate the pressure he was under,
envision,представлять в воображении,,,,
elude,"уклоняться, ускользать","evade or escape from (a danger, enemy, or pursuer), typically in a skillful or cunning way",,,
evade,уклоняться,"escape or avoid, especially by cleverness or trickery",,,
avoid,избегать,keep away from or stop oneself from doing (something),,,
pretend,делать вид,,,,
feign,прикидываться (больным),,,,
moan,стонать,"make a long, low sound",moan,стон,
groan,стонать от боли,make a deep inarticulate sound in response to pain or despair,,,
whine,ныть,,,,
whistle,свистеть,,whistle,свист,
pout,"дуться, надувать губы",,,,
grin,ухмыляться,,,,
squint,щуриться,,,,
sneeze,чихать,,sneeze,чихание,
cough,кашлять,,cough,кашель,
pant,задыхаться,"breathe with short, quick breaths, typically from exertion or excitement",pant,"тяжелое дыхание, одышка",
gasp,задыхаться,"inhale suddenly with the mouth open, out of pain or astonishment.",,,
frown,хмуриться (о лице),"mimics, typically by turning down the corners of the mouth",,,
nod,кивать головой,,,,
wrinkle,морщить лоб,,,,
stumble,спотыкаться,,,,
disrupt,нарушать,"interrupt (an event, activity, or process) by causing a disturbance or problem.",disruption,"разрушение, нарушение работы",
abominate,вызывать отвращение,,abomination,мерзость,
divine,предугадать,discover (something) by guesswork or intuition.,,,
possess,"обладать, овладевать",,possessions,имущество,
scatter,разбрасывать,,,,
devote,посвятить,give all or a large part of one's time or resources to,devotion,преданность,
puncture,прокалывать,,,,
obligate,обязать,"bind or compel (someone), especially legally or morally",obligation,обязательство,
sustain,поддерживать,strengthen or support physically or mentally,,,
sustain,"страдать, испытывать","undergo or suffer (something unpleasant, especially an injury)",,,
retain,"удерживать, сохранять",continue to have (something); keep possession of,retention,"удержание, сохранение",
keep,хранить,have or retain possession of,,,
keep,"продолжать, сохранять","cause to continue in a specified condition, position, course, etc",,,
perceive,воспринимать,become aware or conscious of (something); come to realize or understand,perception,восприятие,
convince,убеждать,cause (someone) to believe firmly in the truth of something,conviction,убеждение,
persuade,"убеждать, доказывать",cause (someone) to do something through reasoning or argument,,,
coax,уговаривать,,,,
urge,"побуждать, убеждать",try earnestly or persistently to persuade (someone) to do something.,,,
bargain,торговаться,an agreement between two or more parties as to what each party will do for the other,bargain,сделка,
consider,рассматривать,"think carefully about (something), typically before making a decision",consideration,рассмотрение,
accompany,сопровождать,go somewhere with (someone) as a companion or escort,,,
shatter,разбить,break or cause to break suddenly and violently into pieces,,,
shatter,сильно расстроить,upset (someone) greatly,,,
commit,совершать чт-л плохое,"carry out or perpetrate (a mistake, crime, or immoral act)",,,
commit,обязывать,bind (a person or an organization) to a certain course or policy,commitment,"обязательство, приверженность",
commit,"вверять, передавать",transfer something to (a state or place),,,
quarrel,ссориться,have a heated argument or disagreement,quarrel,ссора,
remark,"высказаться, отмечать",say something as a comment; mention,,,
remark,"наблюдать, заметить",regard with attention; notice,,,
worship,поклоняться,,worship,поклонение,
tease,дразнить,,,,
scoff,насмехаться,,,,
mock,насмехаться,,,,
gloat,злорадствовать,,gloat,злорадство,
accommodate,разместить,"(of physical space, especially a building) provide lodging or sufficient space for",accommodation,"размещение, жилье",
accommodate,приспособить,fit in with the wishes or needs of,accommodation,"процесс приспособления, настройка",
faint,падать в обморок,,,,
justify,оправдывать,show or prove to be right or reasonable,,,
owe,быть должным,,,,
withdraw,изымать,,withdrawal,"снятие средств, изъятие, отвод",
pamper,"баловать, изнеживать",,,,
offend,обидеть,,offence,"обида, преступление",
surrender,сдаваться,,,,
endure,"терпеть, выносить",,endurance,выносливость,
torment,мучить,,torment,"мучение, страдание",
torture,пытать,,torture,пытка,
endeavour,стараться,,endeavour,"стремление, попытка",
defer,откладывать,,,,
irritate,раздражать,,irritation,раздражение,
resent,"возмущаться, негодовать",,resentment,"негодование, чувство обиды",
emphasize,подчеркивать,,emphasis,акцент,
empathize,сопереживать,,empathy,сочувствие,
interrogate,допрашивать,,interrogation,допрос,
recognize,"распознавать, признавать",,recognition,признание,
thwart,препятствовать,prevent (someone) from accomplishing something.,,,
neglect,пренебрегать,,neglect,пренебрежение,
withstand,"выдерживать, противостоять",,,,
confess,признаваться,,confession,признание,
distract,отвлекать,,,,
collide,сталкиваться,hit with force when moving,,,
grieve,горевать,,grief,горе,
treat,лечить,give medical care or attention to; try to heal or cure,treatment,лечение,
treat,относиться,behave toward or deal with in a certain way,attitude,отношение,
encourage,поощерять,,encouragement,поощерение,
discourage,"отговаривать, отбивать охоту",cause (someone) to lose confidence or enthusiasm.,discouragement,"уныние, упадок духа",
compel,принуждать,,compulsion,принуждение,
despise,презирать,,,,despicable
assault,атаковать,make a physical attack on,assault,нападение,
engage,"заниматься, вовлекать","occupy, attract, or involve (someone's interest or attention)",,,
linger,задерживаться,stay in a place longer than necessary because of a reluctance to leave,,,
amuse,развлекать,,amusement,развлечение,
concern,"затрагивать, иметь отношение",,concern,"беспокойство, забота",
strive,"стремиться, бороться",,,,
aspire,стремиться,,,,
crave,"жаждать, страстно желать",,,,
eliminate,устранить,completely remove or get rid of (something),elimination,устранение,
eavesdrop,подслушивать,,,,
bother,беспокоить,,,,
vie,соперничать,,,,
steer,управлять,,,,
deteriorate,"портиться, ухудшаться",,,,
persevere,упорствовать,,perseverance,упорство,
pursue,преследовать,,pursuit,преследование,
tempt,"соблазнять, искушать","the desire to do something, especially something wrong or unwise.",temptation,"искушение, соблазн",
lure,"соблазнять, завлекать",,lure,приманка,
thrill,"волновать, вызывать дрожь",,thrill,дрожь волнение,
contradict,противоречить,,contradiction,противоречие,
skim,бегло прочитивать,,skim,тонкий налет,
skim,"скользить, пройти едва касаясь",go or move quickly and lightly over or on a surface or through the air.,,,
skim,убрать с поверхности жидкости,remove (a substance) from the surface of a liquid.,,,
adore,обожать,love and respect (someone) deeply.,,,
squeal,визжать,,squeal,визг,
wander,бродить,,,,
imply,"намекать, подразумевать",,,,
bungle,"портачить, работать неумело",,,,
outwit,перехитрить,,,,
outsmart,перехитрить,,,,
wither,увядать (о растениях),become dry and shriveled.,,,
wither,"прекращаться, приходить в упадок",cease to flourish; fall into decay or decline.,,,
litter,мусорить,make (a place) untidy with rubbish or a large number of objects left lying about.,litter,мусор,
stretch,растягиваться,,,,
encompass,охватить,surround and have or hold within.,,,
confine,"ограничивать, держать в пределах","keep or restrict someone or something within certain limits of (space, scope, quantity, or time).",confinement,"ограничение, содержание в пределах",
doze,дремать,,,,
stride,шагать,,stride,шаг,
bewilder,сбивать с толку,,bewilderment,недоумение,
outfit,снаряжать,,outfit,снаряжение,
rip,рвать,,,,
comply,"подчиняться, исполнять",,,,
mourn,оплакивать,,,,
neglect,пренебрегать,,,,
stick,застревать,be fixed in a particular position or unable to move or be moved,stickiness,липкость,
stick,"липнуть, клеить",adhere or cling to something.,,,
sneak,(про)красться,move or go in a furtive or stealthy manner,,,
fend,жить своими силами,"look after and provide for oneself, without any help from others.",,,
diminish,уменьшить,make or become less.,,,
grasp,схватить и держать,seize and hold firmly,grasp,хватка,
lurk,"таиться, скрываться",be or remain hidden so as to wait in ambush for someone or something,,,
startle,напугать (от неожиданности),cause (a person or animal) to feel sudden shock or alarm.,,,
convey,"передавать, переносить",transport or carry to a place.,,,
abide,соблюдать,accept or act in accordance with smt,,,
reveal,раскрывать,,revelation,"открытие, откровение",
defy,бросать вызов,,,,
persecute,"преследовать (из-за политики, религии, убеждений)","subject (someone) to hostility and ill-treatment, especially because of their race or political or religious beliefs",persecution,преследование,
tangle,запутывать,twist together into a confused mass,tangle,"сплетение, клубок",
conclude,заключать (нпр. соглашение),,conclusion,заключение,
complicate,усложнять,make (something) more difficult or confusing by causing it to be more complex,complication,осложнение,
elaborate,разрабатывать в деталях,"develop or present (a theory, policy, or system) in detail",elaboration,процесс детальной разработки,
devise,разработать,"plan or invent (a complex procedure, system, or mechanism) by careful thought.",,,
infer,делать вывод из неявных предпосылок,deduce or conclude from evidence and reasoning rather than from explicit statements,inference,(логический) вывод,
announce,объявлять,"make a public and typically formal declaration about a fact, occurrence, or intention",announcement,объявление,
declare,объявлять,say something in a solemn and emphatic manner,declaration,заявление,
acquaint,знакомить,make someone aware of or familiar with.,acquaintance,знакомство / знакомый,
encounter,сталкиваться,unexpectedly experience or be faced with (something difficult or hostile).,encounter,столкновение,
spare,щадить,,,,
evict,выселять,"expel (someone) from a property, especially with the support of the law",eviction,выселение,
exhibit,"намеренно показывать (эмоции, характер)",manifest or deliberately display (a quality or a type of behavior),,,
exhibit,экспонировать,publicly display in an art gallery or museum or at a trade fair,exhibition,выставка,
restrain,сдерживать,prevent (someone or something) from doing something; keep under control or within limits.,,,
deter,сдерживать,discourage (someone) from doing something by instilling doubt or fear of the consequences.,deterrence,сдерживание,
surmount,преодолевать (трудности или препятствия),,,,
augment,увеличить,make (something) greater by adding to it; increase.,,,
enhance,усилить,"intensify, increase, or further improve the quality, value, or extent of.",enhancement,улучшение,
inhibit,"сдерживать, подавлять","hinder, restrain, or prevent (an action or process).",,,
transcend,превосходить,be or go beyond the range or limits of (something abstract),transcendence,превосходство,
tackle,"справляться (с проблемой), решать",make determined efforts to deal with,,,
relay,передавать,receive and pass on (information or a message).,,,
undergo,"подвергаться, пройти","experience or be subjected to (something, typically something unpleasant, painful, or arduous)",,,
sentence,приговорить,declare the punishment decided for (an offender),sentence,приговор,
debrief,отчитываться об итогах,,,,
brief,"вводить в курс, инстуктировать",,,,
exacerbate,"обострять, усугублять","make (a problem, bad situation, or negative feeling) worse.",exacerbation,обострение,
incite,подстрекать,encourage or stir up (violent or unlawful behavior).,,,
suspend,приостановить,,suspension,пристановка,
counteract,"противодействовать, нейтрализовать",act against (something) in order to reduce its force or neutralize it,,,
deprive,"лишить, отнимать",deny (a person or place) the possession or use of something,deprivation,лишение,
deflect,"отклонять, менять курс",cause (smt) to change direction by interposing something; turn aside from a straight course.,deflection,отклонение,
gain,"получать, набирать","obtain or secure (something desired, favorable, or profitable).",gain,усиление, прирост,
concur,совпадать во мнениях,be of the same opinion; agree.,concurrence,"совпадение (событий, мнений)",
detain,"задерживать, удерживать",keep (someone) from proceeding; hold back,,,
suffocate,задыхаться,die or cause to die from lack of air or inability to breathe.,suffocation,удушье,
pick,"выбирать (без обдумывания, разг)",,,,
disguise,маскировать,give (someone or oneself) a different appearance in order to conceal one's identity.,disguise,маскировка,
reinstate,восстанавливать в должности,restore (someone or something) to their former position or condition.,,,
obliterate,уничтожить,destroy utterly; wipe out.,obliteration,уничтожение,
coincide,совпадать,occur at or during the same time.,coincidence,"стечение обстоятельств, совпадение",
